RecvTime,oldRecvTime,SendTime,oldSendTime
41291,41291,41258,41258
41291,41291,41258,41258
41291,41291,41258,41258
41291,41291,41258,41258
41291,41291,41258,41258
41291,41291,41258,41258
41327,41291,41277,41258
41327,41327,41290,41277
41327,41327,41290,41290
41327,41327,41290,41290
41328,41327,41290,41290
41328,41328,41290,41290
41328,41328,41290,41290
41328,41328,41290,41290
41328,41328,41318,41290
41379,41328,41326,41318
41379,41379,41326,41326
41379,41379,41326,41326
41379,41379,41326,41326
41379,41379,41326,41326
41379,41379,41326,41326
41380,41379,41326,41326
41380,41380,41349,41326
41422,41380,41358,41349
41422,41422,41358,41358
41422,41422,41358,41358
41422,41422,41358,41358
41423,41422,41358,41358
41423,41423,41358,41358
41423,41423,41358,41358
41423,41423,41378,41358
41423,41423,41390,41378
41423,41423,41390,41390
41423,41423,41390,41390
41423,41423,41390,41390
41423,41423,41390,41390
41423,41423,41390,41390
41423,41423,41390,41390
41458,41423,41412,41390
41458,41458,41422,41412
41458,41458,41422,41422
41458,41458,41422,41422
41458,41458,41422,41422
41459,41458,41422,41422
41459,41459,41422,41422
41459,41459,41422,41422
41459,41459,41443,41422
41493,41459,41458,41443
41493,41493,41458,41458
41493,41493,41458,41458
41493,41493,41458,41458
41493,41493,41458,41458
41493,41493,41458,41458
41493,41493,41458,41458
41523,41493,41472,41458
41523,41523,41490,41472
41523,41523,41490,41490
41523,41523,41490,41490
41523,41523,41490,41490
41523,41523,41490,41490
41523,41523,41490,41490
41523,41523,41490,41490
41558,41523,41504,41490
41558,41558,41522,41504
41558,41558,41522,41522
41558,41558,41522,41522
41558,41558,41522,41522
41559,41558,41522,41522
41559,41559,41522,41522
41559,41559,41522,41522
41559,41559,41540,41522
41591,41559,41558,41540
41591,41591,41558,41558
41591,41591,41558,41558
41591,41591,41558,41558
41591,41591,41558,41558
41591,41591,41558,41558
41591,41591,41558,41558
41622,41591,41572,41558
41623,41622,41590,41572
41623,41623,41590,41590
41623,41623,41590,41590
41623,41623,41590,41590
41623,41623,41590,41590
41623,41623,41590,41590
41623,41623,41590,41590
41654,41623,41604,41590
41654,41654,41622,41604
41654,41654,41622,41622
41654,41654,41622,41622
41654,41654,41622,41622
41654,41654,41622,41622
41655,41654,41622,41622
41655,41655,41622,41622
41690,41655,41640,41622
41690,41690,41654,41640
41690,41690,41654,41654
41690,41690,41654,41654
41691,41690,41654,41654
41691,41691,41654,41654
41691,41691,41654,41654
