RecvTime,oldRecvTime,SendTime,oldSendTime
39004030,39004030,38720601,38702775
39004079,39004030,38734642,38720601
39004096,39004079,38734658,38734642
39004096,39004096,38734674,38734658
39004112,39004096,38734691,38734674
39004145,39004112,38734707,38734691
39004145,39004145,38734707,38734707
39004161,39004145,38734707,38734707
39004161,39004161,38754057,38734707
39004177,39004161,38770686,38754057
39004177,39004177,38770703,38770686
39004194,39004177,38770719,38770703
39004194,39004194,38770719,38770719
39004210,39004194,38770752,38770719
39004227,39004210,38770752,38770752
39004227,39004227,38770768,38770752
39004243,39004227,38788119,38770768
39004243,39004243,38802652,38788119
39004259,39004243,38802668,38802652
39004259,39004259,38802684,38802668
39004276,39004259,38802684,38802684
39004276,39004276,38802701,38802684
39004276,39004276,38802701,38802701
39004292,39004276,38802717,38802701
39004292,39004292,38816709,38802717
39004292,39004292,38834617,38816709
39004308,39004292,38834650,38834617
39004308,39004308,38834650,38834650
39004308,39004308,38834666,38834650
39004325,39004308,38834666,38834666
39004325,39004325,38834682,38834666
39004325,39004325,38834682,38834682
39004341,39004325,38854016,38834682
39004341,39004341,38866713,38854016
39004341,39004341,38866762,38866713
39004341,39004341,38866779,38866762
39004358,39004341,38866795,38866779
39004358,39004358,38866811,38866795
39004358,39004358,38866828,38866811
39004374,39004358,38866861,38866828
39004374,39004374,38892239,38866861
39004374,39004374,38902709,38892239
39004390,39004374,38902758,38902709
39004390,39004390,38902791,38902758
39004390,39004390,38902823,38902791
39004407,39004390,38902840,38902823
39004407,39004407,38902873,38902840
39004407,39004407,38902889,38902873
39004423,39004407,38923566,38902889
39007208,39004423,38934789,38923566
39008552,39007208,38934854,38934789
39008617,39008552,38934903,38934854
39011255,39008617,38934952,38934903
39011288,39011255,38935018,38934952
39012976,39011288,38935067,38935018
39035602,39012976,38935116,38935067
39035635,39035602,38956055,38935116
39039043,39035635,38966688,38956055
39040321,39039043,38966737,38966688
39041451,39040321,38966770,38966737
39043270,39041451,38966803,38966770
39043286,39043270,38966819,38966803
39044892,39043286,38966852,38966819
39067371,39044892,38966868,38966852
39067403,39067371,38992133,38966868
39075300,39067403,39002703,38992133
39076791,39075300,39002736,39002703
39076824,39076791,39002752,39002736
39099352,39076824,39002768,39002752
39099385,39099352,39002785,39002768
39099385,39099385,39002801,39002785
39099385,39099385,39002818,39002801
39099450,39099385,39020545,39002818
39106774,39099450,39034734,39020545
39108298,39106774,39034766,39034734
39108314,39108298,39034783,39034766
39135413,39108314,39034799,39034783
