RecvTime,oldRecvTime,SendTime,oldSendTime
47308461,47307167,47269123,47269107
47310247,47308461,47269139,47269123
47337739,47310247,47294993,47269139
47337772,47337739,47301105,47294993
47337887,47337772,47301154,47301105
47337903,47337887,47301187,47301154
47337920,47337903,47301203,47301187
47337969,47337920,47301236,47301203
47340246,47337969,47301252,47301236
47341344,47340246,47301285,47301252
47369786,47341344,47326123,47301285
47369819,47369786,47337068,47326123
47369917,47369819,47337084,47337068
47372457,47369917,47337100,47337084
47373620,47372457,47337100,47337100
47375062,47373620,47337117,47337100
47376356,47375062,47337117,47337117
47378028,47376356,47337133,47337117
47401702,47378028,47351666,47337133
47401735,47401702,47369065,47351666
47401883,47401735,47369082,47369065
47402866,47401883,47369082,47369082
47404422,47402866,47369098,47369082
47406945,47404422,47369098,47369098
47408305,47406945,47369115,47369098
47410091,47408305,47369115,47369115
47437780,47410091,47388743,47369115
47437813,47437780,47401047,47388743
47437813,47437813,47401063,47401047
47437829,47437813,47401080,47401063
47437829,47437829,47401080,47401080
47437862,47437829,47401096,47401080
47440139,47437862,47401096,47401096
47442892,47440139,47401113,47401096
47447758,47442892,47419528,47401113
47469794,47447758,47437059,47419528
47469811,47469794,47437075,47437059
47472498,47469811,47437092,47437075
47472514,47472498,47437092,47437092
47475152,47472514,47437108,47437092
47476545,47475152,47437108,47437108
47478183,47476545,47437125,47437108
47501907,47478183,47452657,47437125
47501923,47501907,47469057,47452657
47501923,47501923,47469073,47469057
47504283,47501923,47469090,47469073
47504315,47504283,47469106,47469090
47506920,47504315,47469106,47469106
47506953,47506920,47469123,47469106
47509804,47506953,47469139,47469123
47533856,47509804,47486457,47469139
47533872,47533856,47501039,47486457
47533872,47533872,47501055,47501039
47536018,47533872,47501055,47501055
47536035,47536018,47501071,47501055
47538673,47536035,47501071,47501071
47539901,47538673,47501071,47501071
47541523,47539901,47501088,47501071
47569901,47541523,47519028,47501088
47569933,47569901,47533102,47519028
47569933,47569933,47533118,47533102
47569933,47569933,47533118,47533118
47569933,47569933,47533135,47533118
47569950,47569933,47533135,47533135
47572571,47569950,47533151,47533135
47573521,47572571,47533151,47533151
47602046,47573521,47551337,47533151
47602079,47602046,47569098,47551337
47602079,47602079,47569131,47569098
47603340,47602079,47569131,47569131
47605683,47603340,47569147,47569131
47607338,47605683,47569163,47569147
47608583,47607338,47569163,47569163
47610320,47608583,47569180,47569163
47634257,47610320,47587776,47569180
47634290,47634257,47601063,47587776
47635273,47634290,47601112,47601063
47635305,47635273,47601145,47601112
47636796,47635305,47601145,47601145
47637829,47636796,47601178,47601145
47640663,47637829,47601210,47601178
47642269,47640663,47601243,47601210
47670351,47642269,47625475,47601243
47670384,47670351,47633110,47625475
47670629,47670384,47633159,47633110
47670646,47670629,47633192,47633159
47670711,47670646,47633208,47633192
47670957,47670711,47633225,47633208
47672890,47670957,47633257,47633225
47674037,47672890,47633274,47633257
47680443,47674037,47658063,47633274
47702251,47680443,47669138,47658063
47702316,47702251,47669188,47669138
47705085,47702316,47669204,47669188
47705150,47705085,47669220,47669204
47707641,47705150,47669253,47669220
47708984,47707641,47669270,47669253
47709165,47708984,47669286,47669270
47733741,47709165,47692240,47669286
47733757,47733741,47701136,47692240
47733773,47733757,47701186,47701136
47736460,47733773,47701202,47701186
47736477,47736460,47701218,47701202
47738934,47736477,47701251,47701218
47741687,47738934,47701267,47701251
47743718,47741687,47701284,47701267
47765739,47743718,47722534,47701284
47765755,47765739,47733069,47722534
47765755,47765755,47733085,47733069
47768016,47765755,47733102,47733085
47768016,47768016,47733102,47733102
47770408,47768016,47733118,47733102
47770441,47770408,47733118,47733118
47773308,47770441,47733118,47733118
47801832,47773308,47751484,47733118
47801865,47801832,47765067,47751484
47801865,47801865,47765083,47765067
47801865,47801865,47765083,47765083
47801980,47801865,47765100,47765083
47801996,47801980,47765100,47765100
47802045,47801996,47765100,47765100
47805502,47802045,47765116,47765100
47834043,47805502,47784138,47765116
47834076,47834043,47801079,47784138
47835125,47834076,47801095,47801079
47835141,47835125,47801112,47801095
47837926,47835141,47801128,47801112
47839270,47837926,47801128,47801128
47840400,47839270,47801144,47801128
47842088,47840400,47801144,47801144
47866172,47842088,47819200,47801144
47866205,47866172,47833077,47819200
47867139,47866205,47833110,47833077
47867155,47867139,47833126,47833110
47868352,47867155,47833142,47833126
47870924,47868352,47833159,47833142
47872054,47870924,47833175,47833159
47875560,47872054,47833191,47833175
47902201,47875560,47855687,47833191
47902299,47902201,47865042,47855687
47902397,47902299,47865075,47865042
47902512,47902397,47865107,47865075
47902610,47902512,47865124,47865107
47902692,47902610,47865140,47865124
47904462,47902692,47865157,47865140
47904544,47904462,47865173,47865157
47927465,47904544,47889700,47865173
47934051,47927465,47901087,47889700
47934084,47934051,47901136,47901087
47936574,47934084,47901152,47901136
47937672,47936574,47901169,47901152
47939016,47937672,47901185,47901169
47965738,47939016,47901218,47901185
47965771,47965738,47901234,47901218
47965836,47965771,47925450,47901234
47965853,47965836,47933117,47925450
47965984,47965853,47933134,47933117
47966787,47965984,47933167,47933134
47968196,47966787,47933167,47933167
47970686,47968196,47933183,47933167
47971915,47970686,47933199,47933183
47973455,47971915,47933216,47933199
47997736,47973455,47950370,47933216
47997752,47997736,47965033,47950370
47998670,47997752,47965050,47965033
47999915,47998670,47965066,47965050
47999931,47999915,47965066,47965066
48002293,47999931,47965083,47965066
48003407,48002293,47965083,47965083
48006930,48003407,47965099,47965083
48033800,48006930,47984023,47965099
48033816,48033800,47997015,47984023
48033832,48033816,47997031,47997015
48033832,48033832,47997064,47997031
48033964,48033832,47997081,47997064
48034095,48033964,47997081,47997081
48035028,48034095,47997097,47997081
48036257,48035028,47997113,47997097
48065880,48036257,48015400,47997113
48065896,48065880,48033062,48015400
48065912,48065896,48033079,48033062
48068599,48065912,48033095,48033079
48070975,48068599,48033095,48033095
48070991,48070975,48033112,48033095
48072187,48070991,48033128,48033112
